Word,Root Word
ad,ada
ak,aku
akn,akan
ank,anak
ap,apa
awl,awal
bg,bagi
bkn,bukan
blm,belum
bnjr,banjir
bnr,benar
br,baru
brp,berapa
bt,buat
byr,bayar
ddk,duduk
dgn,dengan
dkt,dekat
dlm,dalam
dn,dan
dpt,dapat
drpd,daripada
dtg,datang
dtk,datuk
empt,empat
fhm,faham
grk,gerak
igt,ingat
jd,jadi
jgn,jangan
jln,jalan
kjt,kejut
klr,keluar
knp,kenapa
kpd,kepada
krn,kerana
kwl,kawal
lg,lagi
lps,lepas
lrg,lorong
mdh,mudah
mjls,majlis
mkn,makan
mmg,memang
mrh,marah
msk,masuk
nk,nak
org,orang
pd,pada
pg,pagi
phm,faham
pkl,pukul
plg,pulang
pny,punya
rmh,rumah
sbb,sebab
sdh,sudah
sklh,sekolah
skt,sakit
slh,salah
slmt,selamat
smbln,sembilan
smlm,semalam
smn,saman
sy,saya
tgh,tengah
tgk,tengok
tk,tidak
tkr,tukar
tmpt,tempat
tny,tanya
ttg,tentang
utk,untuk
yg,yang
ade,ada
harge,harga
cinte,cinta
kene,kena
kenape,kenapa
kerje,kerja
istimewe,istimewa
cite,cerita
betol,betul
btol,betul
bolat,bulat
kalo,kalau
pulak,pula
jdi,jadi
btul,betul
bgi,bagi
bnar,benar
hrga,harga
slimut,selimut
dtang,datang
klau,kalau
knapa,kenapa
krja,kerja
lbih,lebih
skit,sakit
prnah,pernah
slah,salah
sya,saya
sbab,sebab
smalam,semalam
sndiri,sendiri
tman,taman
tngah,tengah
mlas,malas
bwang,bawang
rmai,ramai
tngok,tengok
x,tidak
k,okay
besaq,besar
beso,besar
besar,besar
besa,besar
godang,besar
besau,besar
pikiaq,fikir
pikior,fikir
pikir,fikir
fikir,fikir
ghaya,raya
raye,raya
rayo,raya
raya,raya
ghayo,raya
panaih,panas
paneh,panas
panah,panas
panas,panas
suka,suka
gemor,suka
suke,suka
suko,suka
pinggan,pinggan
pinggang,pinggan
pingge,pinggan
semut,semut
semuk,semut
somut,semut
demam,demam
dedor,demam
demang,demam
deme,demam
domam,demam
lemah,lemah
lemoh,lemah
lomah,lemah
kedekut,kedekut
kedekuk,kedekut
kodokut,kedekut
pengabadian,abadi
pengabdian,abdi
pengacaraan,acara
pengadangan,adang
pengadilan,adil
pengairan,air
pengakaran,akar
pengaktifan,aktif
pengalaman,alam
pengaman,aman
pengamatan,amat
pengambilalihan,ambilalih
penganugerahan,anugerah
pengarangan,arang
pengasidan,asid
pengasingan,asing
pengauditan,audit
pengawetan,awet
pengebumian,kebumi
pengecapan,cap
pengecatan,cat
penggajian,gaji
penggaraman,garam
penggelapan,gelap
penggeledahan,geledah
penggemblengan,gembleng
penggemukan,gemuk
penggerudian,gerudi
penggredan,gred
penggubalan,gubal
penghabisan,habis
penghakiman,hakim
penghamilan,hamil
pengharaman,haram
penghargaan,harga
penghilangan,hilang
penghindaran,hindar
pengiklanan,iklan
pengiktirafan,iktiraf
pengimejan,imej
pengimportan,import
penginapan,inap
pengindustrian,industri
pengingkaran,ingkar
pengintaian,intai
pengislaman,islam
pengisytiharan,isytihar
pengizinan,izin
pengabulan,kabul
pengapuran,kapur
pengasian,kasi
pengecualian,kecuali
pengecutan,kecut
pengekalan,kekal
pengelaman,kelam
pengelamunan,kelamun
pengelasan,kelas
pengembalian,kembali
pengembaraan,kembara
pengenaan,kena
pengencingan,kencing
pengenduran,kendur
pengeringan,kering
pengerjaan,kerja
pengerukan,keruk
pengerusikan,kerusi
pengesanan,kesan
pengetaman,ketam
pengkhianatan,khianat
pengkhususan,khusus
pengklorinan,klorin
pengkodan,kod
pengkomersialan,komersial
pengkomputeran,komputer
pengontangan,kontang
pengorbanan,korban
pengorekan,korek
pengkorporatan,korporat
pengosongan,kosong
penguasaan,kuasa
penguatan,kuat
penguatkuasaan,kuat kuasa
pengukuhan,kukuh
penguncupan,kuncup
pengurangan,kurang
pengurasan,kuras
penglibatan,libat
pengemukaan,kemuka
pengeraman,eram
pengoksidaan,oksida
pengoksigenan,oksigen
penganan,penganan
pengawinan,pengawinan
pengerawan,pengerawan
penggalan,penggal
pengklonan,klon
pengsan,pengsan
pengetahuan,tahu
pengudaraan,udara
pengumuman,umum
pengunduran,undur
pengusulan,usul
pengutamaan,utama
pengutaraan,utara
pengewapan,wap
pengajaran,ajar
pengabai,abai
pengampun,ampun
penganggur,anggur
penganiaya,aniaya
penganjur,anjur
pengantara,antara
penganut,anut
pengawas,awas
pengebom,bom
pengeksport,eksport
penggempur,gempur
penggoreng,goreng
penghadam,hadam
pengantar,antar
penghapus,hapus
penghasil,hasil
penghayat,hayat
penghebah,hebah
penghidap,hidap
penghidup,hidup
penghijrah,hijrah
penghormat,hormat
penghuni,huni
pengirit,irit
pengapit,apit
pengasih,kasih
pengawal,awal
pengecoh,kecoh
pengejut,kejut
pengendali,kendali
pengerusi,kerusi
pengumpul,kumpul
pengelap,lap
penglihat,lihat
penglipur,lipur
pengepam,pam
pengantin,pengantin
pengap,pengap
pengapuh,pengapuh
pengaruh,pengaruh
